Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.834444	0.713484	38.461540	46.153847	
0.010000	1.094117	0.690185	46.153847	53.846157	
0.010000	1.149606	0.762312	53.846157	53.846157	
0.010000	0.727840	0.733630	61.538464	46.153847	
0.010000	0.873326	0.702048	46.153847	46.153847	
0.010000	0.752667	0.737206	46.153847	53.846157	
0.010000	0.731822	0.690812	38.461540	53.846157	
0.010000	0.743390	0.754130	46.153847	53.846157	
0.010000	0.636909	0.879473	53.846157	53.846157	
0.010000	0.775062	0.680178	53.846157	53.846157	
0.010000	0.590430	0.616815	61.538464	84.615387	
0.010000	0.541242	0.516642	76.923080	53.846157	
0.010000	0.195668	0.467926	92.307693	76.923080	
0.010000	0.241934	0.363597	84.615387	84.615387	
0.010000	0.131023	0.233584	100.000000	84.615387	
0.001000	0.044181	0.148536	100.000000	92.307693	
0.001000	0.202601	0.156560	92.307693	92.307693	
0.001000	0.261281	0.899017	84.615387	61.538464	
0.001000	0.072544	0.088356	100.000000	92.307693	
0.001000	0.129236	0.039233	92.307693	100.000000	
0.001000	0.137755	0.038545	92.307693	100.000000	
0.001000	0.083519	0.121841	100.000000	100.000000	
0.001000	0.691010	0.035385	69.230774	100.000000	
0.001000	0.094417	0.032243	100.000000	100.000000	
0.001000	0.181007	0.043382	92.307693	100.000000	
0.001000	0.306566	0.105919	84.615387	100.000000	
0.001000	0.109983	0.075472	100.000000	100.000000	
0.001000	0.291986	0.210901	84.615387	92.307693	
0.001000	0.168223	0.169868	92.307693	92.307693	
0.001000	0.088793	0.208896	100.000000	92.307693	
